Treatment,Rep,Twitch
0,1,53
0,1,9
0,1,15
0,2,46
0,2,79
0,2,3
0,3,8
0,3,19
2.5,1,1
2.5,1,28
2.5,1,1
2.5,2,12
2.5,2,6
2.5,2,0
2.5,3,34
2.5,3,5
2.5,3,2
6.5,1,29
6.5,1,18
6.5,1,4
6.5,2,8
6.5,2,5
6.5,2,8
6.5,3,22
6.5,3,28
6.5,3,16
10,1,37
10,1,13
10,1,22
10,2,19
10,2,2
10,2,6
10,3,
10,3,91
10,3,6
14.5,1,18
14.5,1,67
14.5,1,12
14.5,2,46
14.5,2,31
14.5,2,22
14.5,3,30
14.5,3,85
14.5,3,11
21,1,151
21,1,142
21,1,17
21,2,4
21,2,67
21,2,62
21,3,23
21,3,83
21,3,121
29.5,1,86
29.5,1,199
29.5,1,336
29.5,2,275
29.5,2,220
